اسم العميل,رقم الهوية,رقم الوحدة,كود الوحدة,سعر الوحدة,نسبة الانجاز من الاستشاري الهندسي,جدول الدفعات,الدفعة 1,الدفعة 2,الدفعة3,الدفعة 4,الدفعة 5,الدفعة 6,الدفعة 7,مجموع الدفعات المستحقة,مجموع الدفعات المدفوعة,البنك,تاريخ عقد البيع,POC,رقم عقد البيع,Date
حازم حسين فتحي السيد,2759445982,101,CPM-0000000001,4301000,0.6004,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 860,200.00","تم السداد 860,200.00","تم السداد 860,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2580600,البنك الأهلي المصري,10/02/2024,0.6004,CPM0001,1-Mar-24
وليد فاروق عادل صلاح,4311947878,102,CPM-0000000002,8274000,0.5731,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,654,800.00","تم السداد 1,654,800.00","تم السداد 1,654,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,4964400,كاش,02/09/2024,0.5731,CPM0002,12-Oct-24
حسن سليمان عادل منصور,8728321643,103,CPM-0000000003,6884000,0.5727,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,376,800.00","تم السداد 1,376,800.00","تم السداد 1,376,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,4130400,QNB مصر,04/11/2024,0.5727,CPM0003,26-Oct-24
يوسف خالد مجدي الجمل,1761154047,104,CPM-0000000004,4590000,0.6534,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 918,000.00","تم السداد 688,500.00","تم السداد 688,500.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2295000,البنك الأهلي المصري,14/11/2024,0.6534,CPM0004,25-Sep-24
محمود عبدالرحمن رشاد الشافعي,2897032337,105,CPM-0000000005,4509000,0.6876,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 901,800.00","تم السداد 676,350.00","تم السداد 676,350.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2254500,البنك الأهلي المصري,15/11/2024,0.6876,CPM0005,17-Nov-24
كريم كمال صبحي عبداللطيف,8740281775,106,CPM-0000000006,4922000,0.6404,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 984,400.00","تم السداد 738,300.00","تم السداد 738,300.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2461000,البنك الأهلي المصري,29/11/2024,0.6404,CPM0006,23-Nov-24
علي سيد لطفي عبدالمجيد,9358620354,107,CPM-0000000007,4375000,0.6509,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 875,000.00","تم السداد 656,250.00","تم السداد 656,250.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2187500,البنك الأهلي المصري,22/11/2024,0.6509,CPM0007,29-Oct-24
نانسي سيد فؤاد القاضي,9968330116,108,CPM-0000000008,4820000,0.6926,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 964,000.00","تم السداد 723,000.00","تم السداد 723,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2410000,البنك الأهلي المصري,15/12/2024,0.6926,CPM0008,11-Nov-24
أدهم محمد علي القاضي,2854621899,109,CPM-0000000009,4628000,0.6218,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 925,600.00","تم السداد 694,200.00","تم السداد 694,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2314000,البنك الأهلي المصري,17/11/2024,0.6218,CPM0009,31-Oct-24
رؤوف علي صلاح المرسي,8043336963,110,CPM-0000000010,4795000,0.6778,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 959,000.00","تم السداد 719,250.00","تم السداد 719,250.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2397500,البنك الأهلي المصري,24/11/2024,0.6778,CPM0010,29-Oct-24
نور عادل جمال مبارك,3338085317,111,CPM-0000000011,4946000,0.678,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 989,200.00","تم السداد 741,900.00","تم السداد 741,900.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2473000,البنك الأهلي المصري,01/11/2024,0.678,CPM0011,20-Nov-24
نادر جمال شوقي خليل,4952770029,112,CPM-0000000012,4091000,0.6899,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 818,200.00","تم السداد 613,650.00","تم السداد 613,650.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2045500,البنك الأهلي المصري,26/10/2024,0.6899,CPM0012,2-Nov-24
طارق يوسف صلاح حجازي,4198130758,113,CPM-0000000013,4530000,0.689,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 906,000.00","تم السداد 679,500.00","تم السداد 679,500.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2265000,البنك الأهلي المصري,07/12/2024,0.689,CPM0013,4-Dec-24
ياسين مجدي عصام العشري,9287092051,114,CPM-0000000014,4940000,0.6446,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 988,000.00","تم السداد 741,000.00","تم السداد 741,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2470000,البنك الأهلي المصري,28/10/2024,0.6446,CPM0014,21-Nov-24
أيمن طارق حسين القاضي,2793295568,115,CPM-0000000015,4706000,0.671,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 941,200.00","تم السداد 705,900.00","تم السداد 705,900.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2353000,البنك الأهلي المصري,13/11/2024,0.671,CPM0015,29-Oct-24
سامح أحمد شوقي عبداللطيف,1532894646,116,CPM-0000000016,4802000,0.6873,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 960,400.00","تم السداد 720,300.00","تم السداد 720,300.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2401000,البنك الأهلي المصري,17/12/2024,0.6873,CPM0016,30-Oct-24
ماجد فتحي صبحي السوهاجي,6431596379,117,CPM-0000000017,4719000,0.6568,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 943,800.00","تم السداد 707,850.00","تم السداد 707,850.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2359500,البنك الأهلي المصري,22/12/2024,0.6568,CPM0017,18-Nov-24
عبدالرحمن صلاح سليمان رزق,4789492934,118,CPM-0000000018,4957000,0.6669,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 991,400.00","تم السداد 743,550.00","تم السداد 743,550.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2478500,البنك الأهلي المصري,27/11/2024,0.6669,CPM0018,30-Nov-24
جورج حمدي مصطفى يونس,2487062887,119,CPM-0000000019,5128000,0.6969,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,025,600.00","تم السداد 769,200.00","تم السداد 769,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2564000,البنك الأهلي المصري,16/12/2024,0.6969,CPM0019,9-Dec-24
تامر فاروق شوقي حسين,7933880271,120,CPM-0000000020,4818000,0.6856,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 963,600.00","تم السداد 722,700.00","تم السداد 722,700.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2409000,البنك الأهلي المصري,03/11/2024,0.6856,CPM0020,23-Nov-24
خالد أحمد نبيل الرفاعي,1773543070,121,CPM-0000000021,4689000,0.6512,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 937,800.00","تم السداد 703,350.00","تم السداد 703,350.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2344500,البنك الأهلي المصري,06/11/2024,0.6512,CPM0021,22-Nov-24
شريف حسن سمير جابر,1069117682,122,CPM-0000000022,6629000,0.6936,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,325,800.00","تم السداد 994,350.00","تم السداد 994,350.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,3314500,البنك الأهلي المصري,28/11/2024,0.6936,CPM0022,18-Dec-24
