اسم العميل,رقم الهوية,رقم الوحدة,كود الوحدة,سعر الوحدة,نسبة الانجاز من الاستشاري الهندسي,جدول الدفعات,الدفعة 1,الدفعة 2,الدفعة3,الدفعة 4,الدفعة 5,الدفعة 6,الدفعة 7,مجموع الدفعات المستحقة,مجموع الدفعات المدفوعة,البنك,تاريخ عقد البيع,POC,رقم عقد البيع,Date
عادل مختار رشاد لطفي,6574829628,101,101-villa,3303000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 660,600.00","تم السداد 660,600.00","تم السداد 660,600.00","تم السداد 495,450.00","تم السداد 495,450.00","تم السداد 165,150.00","165,150.00",165150,3137850,بنك مصر,31-Aug-21,1,DLM0001,29-Aug-21
أماني صلاح فاروق البدري,1255458700,102,102-villa,6082000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,216,400.00","تم السداد 1,216,400.00","تم السداد 1,216,400.00","تم السداد 912,300.00","تم السداد 912,300.00","تم السداد 304,100.00","304,100.00",304100,5777900,بنك مصر,16-Sep-21,1,DLM0002,27-Aug-21
نهال صلاح فاروق عبدالمجيد,4449651849,103,103-villa,5056000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,011,200.00","تم السداد 1,011,200.00","تم السداد 1,011,200.00","تم السداد 758,400.00","تم السداد 758,400.00","تم السداد 252,800.00","252,800.00",252800,4803200,بنك مصر,11-Aug-21,1,DLM0003,8-Sep-21
وائل علي فاروق فهمي,3405813410,104,104-villa,4790000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 958,000.00","تم السداد 958,000.00","تم السداد 958,000.00","تم السداد 718,500.00","تم السداد 718,500.00","تم السداد 239,500.00","239,500.00",239500,4550500,بنك مصر,19-Aug-21,1,DLM0004,31-Aug-21
أشرف سعيد إبراهيم حسن,6105969484,105,105-villa,4773000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 954,600.00","تم السداد 954,600.00","تم السداد 954,600.00","تم السداد 715,950.00","تم السداد 715,950.00","تم السداد 238,650.00","238,650.00",238650,4534350,البنك التجاري الدولي CIB,31-Aug-21,1,DLM0005,4-Aug-21
إبراهيم مصطفى فتحي شاكر,4081115499,106,106-villa,5806000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,161,200.00","تم السداد 1,161,200.00","تم السداد 1,161,200.00","تم السداد 870,900.00","تم السداد 870,900.00","تم السداد 290,300.00","290,300.00",290300,5515700,البنك التجاري الدولي CIB,16-Sep-21,1,DLM0006,13-Sep-21
وليد يوسف إسماعيل فوزي,8995712398,107,107-villa,4953000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 990,600.00","تم السداد 990,600.00","تم السداد 990,600.00","تم السداد 742,950.00","تم السداد 742,950.00","تم السداد 247,650.00","247,650.00",247650,4705350,البنك الأهلي المصري,18-Sep-21,1,DLM0007,29-Aug-21
زياد فتحي عبدالرحمن عبداللطيف,5527261968,108,108-villa,5439000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,087,800.00","تم السداد 1,087,800.00","تم السداد 1,087,800.00","تم السداد 815,850.00","تم السداد 815,850.00","تم السداد 271,950.00","271,950.00",271950,5167050,البنك الأهلي المصري,12-Sep-21,1,DLM0008,23-Aug-21
كريم حمدي جابر إبراهيم,6813187143,109,109-villa,4901000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 980,200.00","تم السداد 980,200.00","تم السداد 980,200.00","تم السداد 735,150.00","تم السداد 735,150.00","تم السداد 245,050.00","245,050.00",245050,4655950,بنك مصر,17-Sep-21,1,DLM0009,20-Aug-21
إبراهيم مختار عادل القاضي,4827735269,110,110-villa,4708000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 941,600.00","تم السداد 941,600.00","تم السداد 941,600.00","تم السداد 706,200.00","تم السداد 706,200.00","تم السداد 235,400.00","235,400.00",235400,4472600,بنك مصر,5-Aug-21,1,DLM0010,11-Aug-21
هاني سليمان فاروق رمضان,1469631526,111,111-villa,4454000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 890,800.00","تم السداد 890,800.00","تم السداد 890,800.00","تم السداد 668,100.00","تم السداد 668,100.00","تم السداد 222,700.00","222,700.00",222700,4231300,البنك التجاري الدولي CIB,10-Sep-21,1,DLM0011,10-Aug-21
