اسم العميل,رقم الهوية,رقم الوحدة,كود الوحدة,سعر الوحدة,نسبة الانجاز من الاستشاري الهندسي,جدول الدفعات,الدفعة 1,الدفعة 2,الدفعة3,الدفعة 4,الدفعة 5,الدفعة 6,الدفعة 7,مجموع الدفعات المستحقة,مجموع الدفعات المدفوعة,البنك,تاريخ عقد البيع,POC,رقم عقد البيع,Date
أشرف رمضان عصام عبدالفتاح,3289030999,P-101,DGP-B01-P-101,4775000,0.3496,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 955,000.00","تم السداد 716,250.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1671250,البنك التجاري الدولي CIB,21/12/2024,0.3496,DGP0001,23-Jan-25
أدهم فتحي طارق عبدالرازق,3930480141,P-102,DGP-B01-P-102,6732000,0,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,346,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1346400,كاش,29/12/2024,0,DGP0002,16-Dec-24
وليد عبدالرحمن كمال جابر,4829662424,P-103,DGP-B01-P-103,3998000,0.2129,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 799,600.00","تم السداد 599,700.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1399300,كاش,17/12/2024,0.2129,DGP0003,1-Jan-25
حسين محمود سمير عبداللطيف,9402838101,P-104,DGP-B01-P-104,3872000,0.1883,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 774,400.00","تم السداد 580,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1355200,البنك الأهلي المصري,17/12/2024,0.1883,DGP0004,2-Jan-25
معتز نبيل خالد مراد,4691501622,P-105,DGP-B01-P-105,3449000,0.2115,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 689,800.00","تم السداد 517,350.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1207150,البنك الأهلي المصري,24/12/2024,0.2115,DGP0005,24-Dec-24
سامح رمضان فتحي الإسكندراني,8885759297,P-106,DGP-B01-P-106,3668000,0.1906,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 733,600.00","تم السداد 550,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1283800,البنك الأهلي المصري,22/12/2024,0.1906,DGP0006,4-Jan-25
إسلام صبري فاروق عبدالعال,2679872400,P-107,DGP-B01-P-107,3522000,0.164,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 704,400.00","تم السداد 528,300.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1232700,البنك الأهلي المصري,26/01/2025,0.164,DGP0007,2-Jan-25
داليا لطفي كمال السمان,6840982993,P-108,DGP-B01-P-108,5463000,0.3169,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,092,600.00","تم السداد 819,450.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1912050,كاش,30/12/2024,0.3169,DGP0008,14-Jan-25
كريم سيد عادل العشري,5497708061,P-109,DGP-B01-P-109,3943000,0.2491,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 788,600.00","تم السداد 591,450.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1380050,البنك الأهلي المصري,27/01/2025,0.2491,DGP0009,10-Dec-24
محمد رشاد مختار عبدالفتاح,4541737403,P-110,DGP-B01-P-110,3610000,0.1897,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 722,000.00","تم السداد 541,500.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1263500,البنك الأهلي المصري,05/01/2025,0.1897,DGP0010,17-Dec-24
علاء إسماعيل شوقي السيد,1460012225,P-111,DGP-B01-P-111,3952000,0.2634,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 790,400.00","تم السداد 592,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1383200,بنك مصر,22/12/2024,0.2634,DGP0011,18-Dec-24
مي سعيد رمضان عبدالحميد,5706847198,P-112,DGP-B01-P-112,5567000,0.2575,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,113,400.00","تم السداد 835,050.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1948450,كاش,02/02/2025,0.2575,DGP0012,1-Jan-25
سلمى سيد محمود السمان,9508976860,P-113,DGP-B01-P-113,3469000,0.2096,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 693,800.00","تم السداد 520,350.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1214150,البنك الأهلي المصري,03/02/2025,0.2096,DGP0013,17-Dec-24
فادي سليمان رجب الدمرداش,7754323469,P-114,DGP-B01-P-114,6365000,0.2459,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,273,000.00","تم السداد 954,750.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2227750,بنك مصر,22/12/2024,0.2459,DGP0014,19-Dec-24
شادي محمد حسين عبدالحليم,4144660449,P-115,DGP-B01-P-115,3926000,0.2458,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 785,200.00","تم السداد 588,900.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1374100,بنك مصر,13/01/2025,0.2458,DGP0015,24-Jan-25
نهى رشاد فاروق عبدالفتاح,5417837851,P-116,DGP-B01-P-116,5923000,0.2605,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,184,600.00","تم السداد 888,450.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2073050,كاش,02/01/2025,0.2605,DGP0016,9-Jan-25
عبدالرحمن عبدالله لطفي السيد,6242089728,P-117,DGP-B01-P-117,4012000,0.179,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 802,400.00","تم السداد 601,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1404200,البنك الأهلي المصري,21/12/2024,0.179,DGP0017,29-Dec-24
حسين عبدالله رشاد البنا,6310931628,P-118,DGP-B01-P-118,3462000,0.282,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 692,400.00","تم السداد 519,300.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1211700,البنك الأهلي المصري,11/01/2025,0.282,DGP0018,16-Jan-25
رامز مصطفى شوقي منصور,4730316467,P-119,DGP-B01-P-119,4000000,0.3119,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 800,000.00","تم السداد 600,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1400000,البنك الأهلي المصري,31/12/2024,0.3119,DGP0019,2-Jan-25
