اسم العميل,رقم الهوية,رقم الوحدة,كود الوحدة,سعر الوحدة,نسبة الانجاز من الاستشاري الهندسي,جدول الدفعات,الدفعة 1,الدفعة 2,الدفعة3,الدفعة 4,الدفعة 5,الدفعة 6,الدفعة 7,مجموع الدفعات المستحقة,مجموع الدفعات المدفوعة,البنك,تاريخ عقد البيع,POC,رقم عقد البيع,Date
ماهر سيد علي عوض,4344442694,P-101,LF6-B01-P-101,5870000,0.076,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,174,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1174000,كاش,01/05/2025,0.076,LF60001,14-May-25
عمرو محمد فاروق محمود,2004011287,P-102,LF6-B01-P-102,6518000,0.0769,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,303,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1303600,كاش,27/05/2025,0.0769,LF60002,18-May-25
شريف خالد مجدي النجار,8690169883,P-103,LF6-B01-P-103,5640000,0.0786,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,128,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1128000,كاش,08/05/2025,0.0786,LF60003,17-Apr-25
محمد رجب حمدي الشربيني,7847616909,P-104,LF6-B01-P-104,6144000,0.0894,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,228,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1228800,بنك مصر,17/05/2025,0.0894,LF60004,28-Apr-25
فرح حسن رمضان الزيات,2993023696,P-105,LF6-B01-P-105,6036000,0.0695,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,207,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1207200,كريدي أجريكول مصر,04/05/2025,0.0695,LF60005,18-May-25
شيماء إبراهيم فتحي عوض,1859049658,P-106,LF6-B01-P-106,4662000,0.0755,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 932,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,932400,بنك مصر,12/05/2025,0.0755,LF60006,28-May-25
زياد سليمان إبراهيم عبدالمقصود,7201504290,P-107,LF6-B01-P-107,5953000,0.0821,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,190,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1190600,كاش,18/04/2025,0.0821,LF60007,2-Jun-25
وائل إبراهيم حسن داود,5240052636,P-108,LF6-B01-P-108,6072000,0.0723,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,214,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1214400,البنك التجاري الدولي CIB,05/06/2025,0.0723,LF60008,23-Apr-25
عبدالله أحمد فتحي صادق,8287012808,P-109,LF6-B01-P-109,5969000,0.0884,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,193,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1193800,QNB مصر,25/05/2025,0.0884,LF60009,29-Apr-25
أشرف رشاد علي العطار,5895035253,P-110,LF6-B01-P-110,6395000,0.0845,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,279,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1279000,كاش,29/05/2025,0.0845,LF60010,3-Jun-25
جورج صلاح حسين الطنطاوي,2919029399,P-111,LF6-B01-P-111,6097000,0.0696,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,219,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1219400,البنك التجاري الدولي CIB,14/06/2025,0.0696,LF60011,23-May-25
هشام إسماعيل فتحي لطفي,2631975500,P-112,LF6-B01-P-112,5826000,0.0737,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,165,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1165200,البنك التجاري الدولي CIB,01/05/2025,0.0737,LF60012,2-May-25
رؤوف يوسف مختار النجار,3170343621,P-113,LF6-B01-P-113,6512000,0.0646,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,302,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1302400,البنك التجاري الدولي CIB,24/06/2025,0.0646,LF60013,5-Jun-25
رامي شوقي سليمان الجمل,3419957031,P-114,LF6-B01-P-114,5232000,0.0708,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,046,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1046400,البنك التجاري الدولي CIB,09/06/2025,0.0708,LF60014,2-Jun-25
فادي جابر طارق فوزي,7322259197,P-115,LF6-B01-P-115,5095000,0.0911,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,019,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1019000,البنك التجاري الدولي CIB,09/07/2025,0.0911,LF60015,28-Jun-25
وائل شوقي كمال الزيني,4116076896,P-116,LF6-B01-P-116,4998000,0.0597,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 999,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,999600,QNB مصر,08/08/2025,0.0597,LF60016,27-Jun-25
عمرو عاطف عصام المنشاوي,3592358412,P-117,LF6-B01-P-117,5024000,0.0866,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,004,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1004800,كاش,11/08/2025,0.0866,LF60017,19-Jul-25
سامح عادل خالد صادق,8776621936,P-118,LF6-B01-P-118,5954000,0.0747,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,190,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1190800,كاش,05/10/2025,0.0747,LF60018,14-Dec-25
شادي رشاد حسين خليل,3139678963,P-119,LF6-B01-P-119,5942000,0.091,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,188,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1188400,كاش,09/11/2025,0.091,LF60019,7-Jan-26
سامي فاروق عصام القاضي,2535944730,P-120,LF6-B02-P-120,6378000,0.0763,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,275,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1275600,البنك التجاري الدولي CIB,29/05/2025,0.0763,LF60020,3-Jun-25
رؤوف سمير علي البنا,3184139411,P-121,LF6-B02-P-121,6069000,0.0672,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,213,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1213800,البنك التجاري الدولي CIB,30/05/2025,0.0672,LF60021,24-May-25
مينا لطفي محمد محمود,3186511859,P-122,LF6-B02-P-122,4970000,0.0773,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 994,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,994000,كاش,17/06/2025,0.0773,LF60022,4-Jun-25
عمر حمدي محمد صلاح,5812764268,P-123,LF6-B02-P-123,5592000,0.0722,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,118,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1118400,كاش,26/07/2025,0.0722,LF60023,22-Jun-25
حسن حمدي طارق السوهاجي,6453355187,P-124,LF6-B02-P-124,6186000,0.0618,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,237,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1237200,كاش,20/07/2025,0.0618,LF60024,1-Jun-25
فرح فتحي يوسف علي,1066367153,P-125,LF6-B02-P-125,6213000,0.0713,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,242,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1242600,البنك التجاري الدولي CIB,22/07/2025,0.0713,LF60025,14-Jun-25
حازم سعيد عبدالرحمن المصري,8326538064,P-126,LF6-B02-P-126,6983000,0.0763,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,396,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1396600,كاش,26/07/2025,0.0763,LF60026,29-Jun-25
هشام حسن عبدالله شاكر,7260927512,P-127,LF6-B02-P-127,5196000,0.066,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,039,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1039200,البنك التجاري الدولي CIB,17/06/2025,0.066,LF60027,25-Jul-25
عبدالرحمن عادل أحمد السعدني,5819122539,P-128,LF6-B02-P-128,4628000,0.0912,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 925,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,925600,البنك التجاري الدولي CIB,03/08/2025,0.0912,LF60028,26-Jul-25
رامي علي جابر عبدالمجيد,9948214370,P-129,LF6-B02-P-129,6108000,0.0905,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,221,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1221600,البنك التجاري الدولي CIB,10/08/2025,0.0905,LF60029,5-Jul-25
رامز لطفي إسماعيل حجازي,9552703468,P-130,LF6-B02-P-130,6229000,0.0794,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,245,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1245800,كاش,21/06/2025,0.0794,LF60030,7-Jul-25
شريف نبيل خالد السعدني,6866571837,P-131,LF6-B02-P-131,4953000,0.0801,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 990,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,990600,البنك التجاري الدولي CIB,07/07/2025,0.0801,LF60031,9-Jul-25
إسلام يوسف رشاد الحداد,3321965595,P-132,LF6-B02-P-132,5749000,0.0713,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 1,149,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1149800,البنك التجاري الدولي CIB,16/07/2025,0.0713,LF60032,26-Jul-25
دعاء عصام عبدالرحمن الطنطاوي,2355201301,P-133,LF6-B02-P-133,4643000,0.0649,"20%, 15%, 15%, 20%, 15%, 10%, 5%","تم السداد 928,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,928600,كاش,17/08/2025,0.0649,LF60033,12-Jul-25
