اسم العميل,رقم الهوية,رقم الوحدة,كود الوحدة,سعر الوحدة,نسبة الانجاز من الاستشاري الهندسي,جدول الدفعات,الدفعة 1,الدفعة 2,الدفعة3,الدفعة 4,الدفعة 5,الدفعة 6,الدفعة 7,مجموع الدفعات المستحقة,مجموع الدفعات المدفوعة,البنك,تاريخ عقد البيع,POC,رقم عقد البيع,Date
نور مجدي رجب داود,8733207472,101,OKC-000001,5472000,0.5773,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,094,400.00","تم السداد 1,094,400.00","تم السداد 1,094,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,3283200,البنك الأهلي المصري,05/10/2024,0.5773,OKC0001,6-Nov-24
مصطفى لطفي صلاح العشري,7113854992,102,OKC-000002,4623000,0.5826,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 924,600.00","تم السداد 924,600.00","تم السداد 924,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2773800,البنك الأهلي المصري,27/10/2024,0.5826,OKC0002,8-Nov-24
ماجد لطفي عصام مصطفى,2280158512,103,OKC-000003,5097000,0.5487,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,019,400.00","تم السداد 1,019,400.00","تم السداد 1,019,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,3058200,البنك الأهلي المصري,29/10/2024,0.5487,OKC0003,13-Oct-24
مها جمال حسن عبدالمجيد,8300209000,104,OKC-000004,3615000,0.6054,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 723,000.00","تم السداد 723,000.00","تم السداد 723,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2169000,البنك الأهلي المصري,26/11/2024,0.6054,OKC0004,24-Nov-24
شادي محمد حسن سالم,1609256547,105,OKC-000005,5238000,0.6101,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,047,600.00","تم السداد 1,047,600.00","تم السداد 1,047,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,3142800,البنك الأهلي المصري,29/10/2024,0.6101,OKC0005,22-Nov-24
حسن فاروق رجب البنا,5000588685,106,OKC-000006,3985000,0.558,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 797,000.00","تم السداد 797,000.00","تم السداد 797,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2391000,البنك الأهلي المصري,06/11/2024,0.558,OKC0006,29-Oct-24
إبراهيم سعيد سمير السعدني,6495785799,107,OKC-000007,4037000,0.5877,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 807,400.00","تم السداد 807,400.00","تم السداد 807,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2422200,البنك الأهلي المصري,02/11/2024,0.5877,OKC0007,8-Nov-24
عبدالرحمن جمال عبدالرحمن حبيب,9263499259,108,OKC-000008,3887000,0.5552,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 777,400.00","تم السداد 777,400.00","تم السداد 777,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2332200,البنك الأهلي المصري,02/11/2024,0.5552,OKC0008,13-Nov-24
سامي رشاد جمال الحداد,5107864193,109,OKC-000009,3667000,0.5852,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 733,400.00","تم السداد 733,400.00","تم السداد 733,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2200200,البنك الأهلي المصري,26/11/2024,0.5852,OKC0009,30-Nov-24
عبدالله أحمد رشاد الدمرداش,3368535766,110,OKC-000010,4409000,0.5956,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 881,800.00","تم السداد 881,800.00","تم السداد 881,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2645400,البنك الأهلي المصري,23/11/2024,0.5956,OKC0010,5-Nov-24
وليد فاروق صبحي أمين,7350199095,111,OKC-000011,4182000,0.5963,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 836,400.00","تم السداد 836,400.00","تم السداد 836,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2509200,البنك الأهلي المصري,03/12/2024,0.5963,OKC0011,14-Nov-24
حازم إسماعيل عبدالرحمن حسين,5255277671,112,OKC-000012,4278000,0.5548,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 855,600.00","تم السداد 855,600.00","تم السداد 855,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2566800,البنك الأهلي المصري,20/12/2024,0.5548,OKC0012,22-Nov-24
كريم صبحي رمضان حبيب,8659459290,113,OKC-000013,3943000,0.5799,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 788,600.00","تم السداد 788,600.00","تم السداد 788,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2365800,البنك الأهلي المصري,13/11/2024,0.5799,OKC0013,2-Dec-24
عادل يوسف عبدالرحمن عبدالرازق,2732340889,114,OKC-000014,3759000,0.5585,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 751,800.00","تم السداد 751,800.00","تم السداد 751,800.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2255400,البنك الأهلي المصري,27/11/2024,0.5585,OKC0014,29-Nov-24
معتز مصطفى محمود الدسوقي,1387541655,115,OKC-000015,3918000,0.5817,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 783,600.00","تم السداد 783,600.00","تم السداد 783,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2350800,البنك الأهلي المصري,04/12/2024,0.5817,OKC0015,6-Dec-24
حسام طارق فاروق الشافعي,8112675208,116,OKC-000016,5277000,0.6124,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,055,400.00","تم السداد 1,055,400.00","تم السداد 1,055,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,3166200,البنك الأهلي المصري,06/11/2024,0.6124,OKC0016,27-Nov-24
شريف حمدي صبري مبارك,1644966904,117,OKC-000017,3973000,0.5772,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 794,600.00","تم السداد 794,600.00","تم السداد 794,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2383800,البنك الأهلي المصري,30/11/2024,0.5772,OKC0017,9-Nov-24
إسلام سمير حسين فهمي,2553987282,118,OKC-000018,4492000,0.5562,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 898,400.00","تم السداد 898,400.00","تم السداد 898,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2695200,البنك الأهلي المصري,09/11/2024,0.5562,OKC0018,24-Nov-24
علاء جمال عاطف عبدالفتاح,2471498514,119,OKC-000019,3887000,0.5675,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 777,400.00","تم السداد 777,400.00","تم السداد 777,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2332200,البنك الأهلي المصري,28/12/2024,0.5675,OKC0019,27-Nov-24
حسن صلاح عصام رزق,3698066416,120,OKC-000020,5361000,0.5761,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,072,200.00","تم السداد 1,072,200.00","تم السداد 1,072,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,3216600,البنك الأهلي المصري,30/11/2024,0.5761,OKC0020,12-Dec-24
شادي يوسف محمود البنا,5570055351,121,OKC-000021,5023000,0.6035,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,004,600.00","تم السداد 1,004,600.00","تم السداد 1,004,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,3013800,البنك الأهلي المصري,30/11/2024,0.6035,OKC0021,21-Nov-24
فادي عصام عاطف سالم,8523308649,122,OKC-000022,5966000,0.6111,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,193,200.00","تم السداد 1,193,200.00","تم السداد 1,193,200.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,3579600,البنك الأهلي المصري,28/12/2024,0.6111,OKC0022,6-Dec-24
فادي سعيد إبراهيم جابر,2527192149,123,OKC-000023,3888000,0.567,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 777,600.00","تم السداد 777,600.00","تم السداد 777,600.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2332800,البنك الأهلي المصري,24/12/2024,0.567,OKC0023,10-Dec-24
جورج إسماعيل عبدالرحمن المنياوي,1721575728,124,OKC-000024,6337000,0.5547,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,267,400.00","تم السداد 1,267,400.00","تم السداد 1,267,400.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,3802200,البنك الأهلي المصري,13/12/2024,0.5547,OKC0024,21-Nov-24
فادي جمال فؤاد مبارك,8537325064,125,OKC-000025,4610000,0.5577,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 922,000.00","تم السداد 922,000.00","تم السداد 922,000.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2766000,البنك الأهلي المصري,15/12/2024,0.5577,OKC0025,9-Dec-24
