اسم العميل,رقم الهوية,رقم الوحدة,كود الوحدة,سعر الوحدة,نسبة الانجاز من الاستشاري الهندسي,جدول الدفعات,الدفعة 1 ,الدفعة 2 ,الدفعة3 ,الدفعة 4 ,الدفعة 5 ,الدفعة 6 ,الدفعة 7 ,مجموع الدفعات المستحقة ,مجموع الدفعات المدفوعة ,البنك,تاريخ عقد البيع ,POC,رقم عقد البيع ,Date
أدهم مصطفى محمد صادق,9990000000298,771,02-04-0175-0000000771,6025000,0.9132,"15%, 10%, 15%, 20%, 15%, 15%, 10%","تم السداد 903,750.00","تم السداد 602,500.00","تم السداد 903,750.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2410000,البنك الأهلي المصري,10/06/2025,0.9132,RA-2025-0001,13/7/2025
مي حمدي صبري عبداللطيف,9990000000409,924,02-04-0175-0000000924,3892500,0.8453,"15%, 15%, 15%, 15%, 15%, 15%, 10%","تم السداد 583,875.00","583,875.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,583875,583875,البنك الأهلي المصري,11/04/2026,0.8453,RA-2026-0002,28/4/2026
عمرو عادل علي الكومي,9990000000018,605,02-04-0175-0000000605,3582500,0.8847,"20%, 15%, 15%, 15%, 15%, 10%, 10%","تم السداد 716,500.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,716500,البنك الأهلي المصري,07/05/2026,0.8847,RA-2026-0003,14/6/2026
آية عبدالرحمن ناجي عوض,9990000000360,762,02-04-0175-0000000762,6122500,0.9877,"10%, 15%, 15%, 20%, 15%, 15%, 10%","تم السداد 612,250.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,612250,البنك الأهلي المصري,01/05/2026,0.9877,RA-2026-0004,24/5/2026
معتز صبري أحمد السوهاجي,9990000000272,770,02-04-0175-0000000770,3982500,0.8959,"15%, 10%, 15%, 20%, 15%, 15%, 10%","تم السداد 597,375.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,597375,البنك الأهلي المصري,10/10/2025,0.8959,RA-2025-0005,29/10/2025
رامي طارق خالد لطفي,9990000000257,656,02-04-0175-0000000656,6832500,0.9826,"10%, 15%, 15%, 20%, 15%, 15%, 10%","تم السداد 683,250.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,683250,البنك الأهلي المصري,08/04/2026,0.9826,RA-2026-0006,13/5/2026
علي مصطفى طارق الدسوقي,9990000000012,621,02-04-0175-0000000621,6717500,0.9844,"15%, 10%, 15%, 20%, 15%, 15%, 10%","تم السداد 1,007,625.00","تم السداد 671,750.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,1679375,البنك الأهلي المصري,02/08/2025,0.9844,RA-2025-0007,12/8/2025
سارة أمين أحمد الجمل,9990000000009,533,02-04-0175-0000000533,4872500,0.8491,"20%, 15%, 15%, 15%, 15%, 10%, 10%","تم السداد 974,500.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,974500,البنك الأهلي المصري,07/02/2026,0.8491,RA-2026-0008,7/3/2026
أسماء فتحي حسين خليل,9990000000432,887,02-04-0175-0000000887,3050000,0.987,"20%, 15%, 15%, 15%, 15%, 10%, 10%","تم السداد 610,000.00","تم السداد 457,500.00","457,500.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,457500,1067500,البنك الأهلي المصري,14/10/2025,0.987,RA-2025-0009,21/10/2025
كريم صبري خالد الطنطاوي,9990000000163,637,02-04-0175-0000000637,6267500,0.8486,"10%, 15%, 15%, 20%, 15%, 15%, 10%","تم السداد 626,750.00","تم السداد 940,125.00","تم السداد 940,125.00",غير مستحقة,غير مستحقة,غير مستحقة,غير مستحقة,0,2507000,البنك الأهلي المصري,13/06/2025,0.8486,RA-2025-0010,3/7/2025
