اسم العميل,رقم الهوية,رقم الوحدة,كود الوحدة,سعر الوحدة,نسبة الانجاز من الاستشاري الهندسي,جدول الدفعات,الدفعة 1,الدفعة 2,الدفعة3,الدفعة 4,الدفعة 5,الدفعة 6,الدفعة 7,مجموع الدفعات المستحقة,مجموع الدفعات المدفوعة,البنك,تاريخ عقد البيع,POC,رقم عقد البيع,Date
مجدي رمضان فؤاد الرفاعي,7403766008,B1 - A001,Skyline - B1 - A001,3829000,0.9355,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 765,800.00","تم السداد 765,800.00","تم السداد 765,800.00","تم السداد 574,350.00","تم السداد 574,350.00","تم السداد 191,450.00",غير مستحقة,0,3637550,كاش,16-Nov-24,0.9355,SKC0001,23-Nov-24
ماجد سمير إسماعيل الشافعي,2427812462,B1 - B002,Skyline - B1 - B002,3244000,0.9315,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 648,800.00","تم السداد 648,800.00","تم السداد 648,800.00","تم السداد 486,600.00","تم السداد 486,600.00","تم السداد 162,200.00",غير مستحقة,0,3081800,كاش,4-Nov-24,0.9315,SKC0002,9-Nov-24
نيرمين محمد إبراهيم السيد,1576457857,B1 - C003,Skyline - B1 - C003,4284000,0.9149,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 856,800.00","تم السداد 856,800.00","تم السداد 856,800.00","تم السداد 642,600.00","تم السداد 642,600.00","تم السداد 214,200.00",غير مستحقة,0,4069800,كاش,16-Nov-24,0.9149,SKC0003,23-Nov-24
محمد خالد رمضان منصور,7990822490,B1 - A004,Skyline - B1 - A004,4453000,0.9461,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 890,600.00","تم السداد 890,600.00","تم السداد 890,600.00","تم السداد 667,950.00","تم السداد 667,950.00","تم السداد 222,650.00",غير مستحقة,0,4230350,كاش,12-Oct-24,0.9461,SKC0004,14-Oct-24
حسين فؤاد عبدالله لطفي,3243872153,B1 - B005,Skyline - B1 - B005,5363000,0.9243,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,072,600.00","تم السداد 1,072,600.00","تم السداد 1,072,600.00","تم السداد 804,450.00","تم السداد 804,450.00","تم السداد 268,150.00",غير مستحقة,0,5094850,كاش,15-Oct-24,0.9243,SKC0005,20-Oct-24
حازم رجب لطفي العطار,4211355512,B1 - C006,Skyline - B1 - C006,3482000,0.9434,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 696,400.00","تم السداد 696,400.00","تم السداد 696,400.00","تم السداد 522,300.00","تم السداد 522,300.00","تم السداد 174,100.00",غير مستحقة,0,3307900,كاش,18-Nov-24,0.9434,SKC0006,20-Nov-24
مينا طارق محمود مراد,2279487261,B1 - A007,Skyline - B1 - A007,3398000,0.9597,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 679,600.00","تم السداد 679,600.00","تم السداد 679,600.00","تم السداد 509,700.00","تم السداد 509,700.00","تم السداد 169,900.00",غير مستحقة,0,3228100,كاش,25-Nov-24,0.9597,SKC0007,26-Nov-24
نهى محمد حسن سليمان,5523731530,B1 - B008,Skyline - B1 - B008,3477000,0.9596,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 695,400.00","تم السداد 695,400.00","تم السداد 695,400.00","تم السداد 521,550.00","تم السداد 521,550.00","تم السداد 173,850.00",غير مستحقة,0,3303150,كاش,1-Dec-24,0.9596,SKC0008,1-Dec-24
شيماء فتحي سعيد الشرقاوي,7555911221,B1 - C009,Skyline - B1 - C009,4128000,0.9292,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 825,600.00","تم السداد 825,600.00","تم السداد 825,600.00","تم السداد 619,200.00","تم السداد 619,200.00","تم السداد 206,400.00",غير مستحقة,0,3921600,كاش,26-Nov-24,0.9292,SKC0009,27-Nov-24
ماهر شوقي صبحي السعدني,2681039540,B1 - A010,Skyline - B1 - A010,5447000,0.9361,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,089,400.00","تم السداد 1,089,400.00","تم السداد 1,089,400.00","تم السداد 817,050.00","تم السداد 817,050.00","تم السداد 272,350.00",غير مستحقة,0,5174650,كاش,28-Oct-24,0.9361,SKC0010,1-Nov-24
