اسم العميل,رقم الهوية,رقم الوحدة,كود الوحدة,سعر الوحدة,نسبة الانجاز من الاستشاري الهندسي,جدول الدفعات,الدفعة 1,الدفعة 2,الدفعة3,الدفعة 4,الدفعة 5,الدفعة 6,الدفعة 7,مجموع الدفعات المستحقة,مجموع الدفعات المدفوعة,البنك,تاريخ عقد البيع,POC,رقم عقد البيع,Date
حازم رمضان عصام الدسوقي,4708187843,101,ZNC-A02-0001,8126000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,625,200.00","تم السداد 1,625,200.00","تم السداد 1,625,200.00","تم السداد 1,218,900.00","تم السداد 1,218,900.00","تم السداد 406,300.00","406,300.00",406300,7719700,كاش,30-Jul-24,1,ZNC0001,01/08/2024
بيشوي محمد خالد البنا,1058661440,102,ZNC-A03-0002,7166000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,433,200.00","تم السداد 1,433,200.00","تم السداد 1,433,200.00","تم السداد 1,074,900.00","تم السداد 1,074,900.00","تم السداد 358,300.00","358,300.00",358300,6807700,كاش,15-Jul-24,1,ZNC0002,03/08/2024
أدهم مصطفى خالد عبدالسلام,8294321235,103,ZNC-A04-0003,6825000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,365,000.00","تم السداد 1,365,000.00","تم السداد 1,365,000.00","تم السداد 1,023,750.00","تم السداد 1,023,750.00","341,250.00","341,250.00",682500,6142500,كاش,28-Jul-24,1,ZNC0003,16/07/2024
فادي حسن رشاد الوكيل,7115767041,104,ZNC-A05-0004,7179000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,435,800.00","تم السداد 1,435,800.00","تم السداد 1,435,800.00","تم السداد 1,076,850.00","تم السداد 1,076,850.00","تم السداد 358,950.00","358,950.00",358950,6820050,كاش,12-Aug-24,1,ZNC0004,06/08/2024
عبدالله جمال إبراهيم مبارك,2449727048,105,ZNC-A06-0005,7396000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,479,200.00","تم السداد 1,479,200.00","تم السداد 1,479,200.00","تم السداد 1,109,400.00","تم السداد 1,109,400.00","تم السداد 369,800.00","369,800.00",369800,7026200,كاش,31-Jul-24,1,ZNC0005,24/07/2024
أدهم عصام رجب الدمرداش,5630399958,106,ZNC-A07-0006,7206000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,441,200.00","تم السداد 1,441,200.00","تم السداد 1,441,200.00","تم السداد 1,080,900.00","تم السداد 1,080,900.00","360,300.00","360,300.00",720600,6485400,كاش,12-Aug-24,1,ZNC0006,23/07/2024
إسراء فؤاد كمال حبيب,8013892740,107,ZNC-A08-0007,7005000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,401,000.00","تم السداد 1,401,000.00","تم السداد 1,401,000.00","تم السداد 1,050,750.00","تم السداد 1,050,750.00","تم السداد 350,250.00","350,250.00",350250,6654750,كاش,29-Jul-24,1,ZNC0007,13/08/2024
أيمن طارق فاروق المنياوي,7946935487,108,ZNC-A09-0008,7413000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,482,600.00","تم السداد 1,482,600.00","تم السداد 1,482,600.00","تم السداد 1,111,950.00","1,111,950.00","370,650.00","370,650.00",1853250,5559750,كاش,16-Jul-24,1,ZNC0008,27/07/2024
حسن فاروق فؤاد القناوي,9703899252,109,ZNC-A10-0009,7228000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,445,600.00","تم السداد 1,445,600.00","تم السداد 1,445,600.00","تم السداد 1,084,200.00","1,084,200.00","361,400.00","361,400.00",1807000,5421000,كاش,17-Jul-24,1,ZNC0009,21/07/2024
حازم أحمد عبدالرحمن الوكيل,1095349070,110,ZNC-A11-0010,7540000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,508,000.00","تم السداد 1,508,000.00","تم السداد 1,508,000.00","تم السداد 1,131,000.00","1,131,000.00","377,000.00","377,000.00",1885000,5655000,كاش,15-Aug-24,1,ZNC0010,16/07/2024
حسين صبحي كمال فهمي,5116743127,111,ZNC-A12-0011,7712000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,542,400.00","تم السداد 1,542,400.00","تم السداد 1,542,400.00","تم السداد 1,156,800.00","1,156,800.00","385,600.00","385,600.00",1928000,5784000,كاش,8-Aug-24,1,ZNC0011,13/07/2024
سارة حسن محمود سالم,7675017396,112,ZNC-A13-0012,7032000,1,"20%, 20%,20%, 15%,15%, 5%, 5%","تم السداد 1,406,400.00","تم السداد 1,406,400.00","تم السداد 1,406,400.00","تم السداد 1,054,800.00","تم السداد 1,054,800.00","تم السداد 351,600.00","351,600.00",351600,6680400,كاش,31-Jul-24,1,ZNC0012,13/08/2024
